ID,Income,Total Spent,Total Purchases,Recency,Complain,Campaign,Weighted Score,Customer Type
5524,58138.0,1617,22,58,0,0,0.6178400449718796,Potential
2174,46344.0,27,4,38,0,0,0.15497576201726726,Low Value
4141,71613.0,776,20,26,0,0,0.508493529507103,Potential
6182,26646.0,53,6,26,0,0,0.1472644165089958,Low Value
5324,58293.0,422,14,94,0,0,0.29006983654970797,Low Value
7446,62513.0,716,20,16,0,0,0.4877090174402954,Potential
965,55635.0,590,17,34,0,0,0.4034299011392461,Potential
6177,33454.0,169,8,32,0,0,0.19595845600662382,Low Value
4855,30351.0,46,5,19,0,0,0.15183447691766075,Low Value
5899,5648.0,49,1,68,0,1,0.036083717365135944,Low Value
1994,0.0,19,3,11,0,0,0.06955318755878007,Low Value
387,7500.0,61,5,59,0,0,0.06392207045385498,Low Value
2125,63033.0,1102,15,82,0,0,0.4453224605910608,Potential
8180,59354.0,310,12,53,0,0,0.2947517847817647,Low Value
2569,17323.0,46,4,38,0,0,0.09463056263192617,Low Value
2114,82800.0,1315,25,23,0,2,0.730752103366481,Loyal
9736,41850.0,96,6,51,0,0,0.16323125120513543,Low Value
4939,37760.0,317,11,20,0,0,0.2725137502520202,Low Value
6565,76995.0,1782,24,91,0,1,0.6996339465915515,Loyal
2278,33812.0,133,6,86,0,0,0.11692030018502715,Low Value
9360,37040.0,316,11,41,0,0,0.24953761036793415,Low Value
5376,2447.0,1730,28,42,0,0,0.5883324079551011,Potential
1993,58607.0,972,14,63,0,1,0.446831336868446,Potential
4047,65324.0,544,17,0,0,0,0.45072742675430394,Potential
1409,40689.0,444,13,69,0,0,0.2712421355024403,Low Value
7892,18589.0,75,6,89,0,0,0.06990819594347596,Low Value
2404,53359.0,257,10,4,0,0,0.3027059972871255,Potential
5255,0.0,637,27,19,0,0,0.39856427790602517,Potential
9422,38360.0,131,7,26,0,0,0.1965356144067657,Low Value
1966,84618.0,1672,25,96,0,1,0.7007630122050806,Loyal
6864,10979.0,30,6,34,0,0,0.10057409243774873,Low Value
3033,38620.0,318,10,56,0,0,0.22884686815392663,Low Value
5710,40548.0,120,7,31,0,1,0.2192994138209794,Low Value
7373,46610.0,302,11,8,0,0,0.30136757096381517,Low Value
8755,68657.0,1196,17,4,0,0,0.5722720945787994,Potential
10738,49389.0,65,5,55,0,0,0.16076467610986184,Low Value
4339,67353.0,913,23,37,0,0,0.5409923151753393,Potential
10755,23718.0,81,6,76,0,0,0.09540189321518211,Low Value
8595,42429.0,67,5,99,0,0,0.1013841333946671,Low Value
2968,48948.0,902,22,53,0,1,0.49800429577450117,Potential
8601,80011.0,1395,19,3,0,0,0.6530838690358147,Potential
503,20559.0,53,5,88,0,0,0.06188324989623839,Low Value
8430,21994.0,22,3,4,0,0,0.125513291809853,Low Value
7281,0.0,186,8,80,0,0,0.07702142342408363,Low Value
2139,7500.0,31,5,19,0,0,0.09888475656527144,Low Value
1371,79941.0,984,15,72,0,0,0.471186477733108,Potential
9909,7500.0,122,7,24,0,0,0.12908969286905903,Low Value
7286,41728.0,55,4,92,0,0,0.09536242266905193,Low Value
7244,0.0,124,7,96,0,0,0.040239341724378,Low Value
6566,72550.0,1319,19,39,0,0,0.586535359437873,Potential
8614,65486.0,507,16,29,0,0,0.4057045878778025,Potential
4114,79143.0,1693,28,2,0,0,0.7906117953391301,Loyal
1331,35790.0,72,5,54,0,0,0.13315230976157139,Low Value
2225,82582.0,1617,20,54,0,2,0.7068610836510021,Loyal
9381,66373.0,606,16,57,0,0,0.3973279535570881,Potential
6260,82384.0,1957,26,55,0,1,0.7983344385701978,Loyal
10383,70287.0,1093,20,30,0,0,0.5590354067986318,Potential
7437,27938.0,29,5,31,0,0,0.13132578793084,Low Value
8557,0.0,46,5,57,0,0,0.04673575995749514,Low Value
8375,55954.0,518,16,63,0,0,0.3524039190751006,Potential
6853,75777.0,1438,20,12,0,2,0.7018604308366484,Loyal
3076,66653.0,612,18,18,0,0,0.45717563499670827,Potential
1012,61823.0,884,20,26,0,0,0.5065628945239163,Potential
6518,67680.0,606,18,8,0,0,0.4684458346292265,Potential
4137,70666.0,1076,15,29,0,0,0.5109201579236226,Potential
8082,25721.0,34,4,75,0,0,0.07354002293305367,Low Value
1386,32474.0,11,3,0,0,0,0.15059473990032407,Low Value
9369,88194.0,1274,31,19,0,2,0.795462602671916,Loyal
4477,69096.0,653,17,4,0,0,0.47474855277931116,Potential
1357,74854.0,1562,12,90,0,0,0.5185346263187163,Potential
1402,66991.0,1253,18,1,0,0,0.5913539172015096,Potential
10629,0.0,109,6,25,0,0,0.09986083629523773,Low Value
6312,65031.0,863,26,29,0,0,0.5630251848044783,Potential
8132,60631.0,661,19,88,0,1,0.4164940828876374,Potential
1050,28332.0,65,7,58,0,0,0.13019874169404527,Low Value
