ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Age,Total_Campaign_Accepted,Customer_Segment,Total_Spent,Total_Purchases,Customer_Type
2174,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,70,0,Current Non-Loyal Customer,27,4,Low Value
6182,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,40,0,Current Non-Loyal Customer,53,6,Low Value
965,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,53,0,Current Non-Loyal Customer,590,17,Low Value
6177,1985,PhD,Married,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,39,0,Current Non-Loyal Customer,169,8,Low Value
4855,1974,PhD,Together,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,50,0,Current Non-Loyal Customer,46,5,Low Value
5899,1950,PhD,Together,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,74,1,Current Non-Loyal Customer,49,1,Low Value
1994,1983,Graduation,Married,,1,0,15-11-2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,19,41,0,Current Non-Loyal Customer,19,3,Low Value
387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,48,0,Current Non-Loyal Customer,61,5,Low Value
8180,1952,Master,Divorced,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,72,0,Current Non-Loyal Customer,310,12,Low Value
2569,1987,Graduation,Married,17323.0,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,37,0,Current Non-Loyal Customer,46,4,Low Value
9736,1980,Graduation,Married,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,44,0,Current Non-Loyal Customer,96,6,Low Value
