ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Age,Total_Campaign_Accepted,Customer_Segment,Total_Spent,Total_Purchases,Customer_Type
5524,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,67,0,Current Non-Loyal Customer,1617,22,Potential
7446,1967,Master,Together,62513.0,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,57,0,Current Loyal Customer,716,20,Potential
6565,1949,Master,Married,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,75,1,Potential Customer,1782,24,Potential
5376,1979,Graduation,Married,2447.0,1,0,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,45,0,Current Loyal Customer,1730,28,Potential
1993,1949,PhD,Married,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,75,1,Potential Customer,972,14,Potential
5255,1986,Graduation,Single,,1,0,20-02-2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,637,38,0,Current Loyal Customer,637,27,Potential
1966,1965,PhD,Married,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,59,1,Potential Customer,1672,25,Potential
2968,1943,PhD,Divorced,48948.0,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,81,1,Current Non-Loyal Customer,902,22,Potential
1371,1976,Graduation,Single,79941.0,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,48,0,Current Non-Loyal Customer,984,15,Potential
2225,1977,Graduation,Divorced,82582.0,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,1617,47,2,Potential Customer,1617,20,Potential
9381,1978,Graduation,Married,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,46,0,Current Non-Loyal Customer,606,16,Potential
6260,1955,Master,Together,82384.0,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,1957,69,1,Potential Customer,1957,26,Potential
3076,1975,Graduation,Together,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,49,0,Current Loyal Customer,612,18,Potential
6518,1951,PhD,Widow,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,73,0,Current Loyal Customer,606,18,Potential
4137,1948,Graduation,Together,70666.0,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,76,0,Current Loyal Customer,1076,15,Potential
4477,1958,Graduation,Together,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,66,0,Current Loyal Customer,653,17,Potential
8132,1975,PhD,Married,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,661,49,1,Potential Customer,661,19,Potential
1618,1965,Graduation,Together,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,692,59,1,Current Loyal Customer,692,19,Potential
8504,1973,Graduation,Married,79593.0,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1366,51,1,Potential Customer,1366,18,Potential
7247,1960,Graduation,Widow,47916.0,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,606,64,1,Current Non-Loyal Customer,606,17,Potential
4518,1979,Graduation,Together,85693.0,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,45,0,Current Non-Loyal Customer,1169,25,Potential
9370,1945,PhD,Married,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,79,0,Current Non-Loyal Customer,1120,15,Potential
2683,1969,Graduation,Married,52413.0,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,55,0,Current Non-Loyal Customer,910,22,Potential
10991,1960,Master,Married,89058.0,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,64,0,Current Loyal Customer,850,13,Potential
3267,1963,Master,Together,57288.0,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,608,61,1,Current Loyal Customer,608,17,Potential
999,1991,Graduation,Single,86037.0,0,0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,730,33,2,Potential Customer,730,24,Potential
1592,1970,Graduation,Married,90765.0,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,1724,54,2,Current Loyal Customer,1724,15,Potential
9805,1953,Master,Together,56129.0,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,71,0,Current Non-Loyal Customer,660,18,Potential
7215,1983,Graduation,Single,101970.0,0,0,12-03-2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1135,41,3,Potential Customer,1135,27,Potential
11071,1984,Graduation,Single,79607.0,0,0,21-04-2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,40,0,Current Loyal Customer,1923,15,Potential
11051,1956,PhD,Together,77376.0,1,1,10-05-2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,68,0,Current Non-Loyal Customer,661,19,Potential
433,1958,Master,Alone,61331.0,1,1,10-03-2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,66,0,Current Loyal Customer,632,18,Potential
9597,1969,Graduation,Married,73448.0,0,0,10-02-2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,55,0,Current Loyal Customer,725,18,Potential
11084,1976,Master,Together,65104.0,0,1,14-11-2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,48,0,Current Loyal Customer,1053,15,Potential
8690,1962,Graduation,Married,86111.0,0,0,19-04-2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,62,0,Current Non-Loyal Customer,1385,22,Potential
9949,1976,Graduation,Married,59809.0,0,2,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,48,0,Current Loyal Customer,877,12,Potential
7055,1952,PhD,Together,61010.0,0,1,09-10-2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,72,0,Current Non-Loyal Customer,1021,24,Potential
2730,1955,Graduation,Single,80317.0,0,0,20-08-2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,69,0,Current Non-Loyal Customer,1231,17,Potential
6637,1988,Graduation,Single,66951.0,0,0,02-11-2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,36,0,Current Loyal Customer,1117,14,Potential
8717,1975,PhD,Married,80427.0,0,1,12-09-2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,49,0,Current Non-Loyal Customer,1835,27,Potential
10314,1948,PhD,Married,83837.0,0,0,16-12-2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,1318,76,2,Potential Customer,1318,24,Potential
3934,1966,Graduation,Married,61286.0,0,1,02-08-2013,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,608,58,0,Current Loyal Customer,608,16,Potential
9938,1954,Graduation,Married,80067.0,0,0,19-09-2013,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,1600,70,1,Potential Customer,1600,16,Potential
7300,1952,Graduation,Divorced,69142.0,0,1,29-06-2014,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,535,72,1,Potential Customer,535,16,Potential
10424,1968,Graduation,Single,75922.0,0,0,09-12-2013,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,1295,56,0,Current Non-Loyal Customer,1295,17,Potential
8727,1978,Graduation,Divorced,63693.0,0,1,14-10-2013,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,1150,46,0,Current Non-Loyal Customer,1150,26,Potential
2798,1977,PhD,Together,102160.0,0,0,02-11-2012,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,1240,47,3,Potential Customer,1240,26,Potential
0,1985,Graduation,Married,70951.0,0,0,04-05-2013,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,1198,39,0,Current Non-Loyal Customer,1198,16,Potential
6274,1948,Master,Married,83790.0,0,0,15-11-2013,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,1615,76,2,Potential Customer,1615,24,Potential
2075,1969,Graduation,Married,72460.0,0,0,14-11-2013,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,1047,55,0,Current Non-Loyal Customer,1047,15,Potential
4785,1970,PhD,Together,77622.0,0,2,14-04-2014,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,714,54,0,Current Loyal Customer,714,20,Potential
709,1952,Graduation,Divorced,51537.0,0,1,09-12-2012,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,1103,72,0,Current Loyal Customer,1103,15,Potential
460,1972,PhD,Married,79930.0,0,0,08-08-2012,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,1753,52,0,Current Non-Loyal Customer,1753,16,Potential
5341,1962,2n Cycle,Divorced,81975.0,0,1,05-01-2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,1588,62,1,Current Loyal Customer,1588,13,Potential
313,1968,Graduation,Widow,73455.0,0,0,28-10-2013,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,2088,56,1,Potential Customer,2088,21,Potential
2176,1972,Graduation,Married,80134.0,1,0,20-05-2013,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1,1690,52,3,Current Loyal Customer,1690,14,Potential
8932,1969,Master,Together,65176.0,0,1,29-10-2012,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,1531,55,0,Current Non-Loyal Customer,1531,21,Potential
291,1970,Graduation,Married,72940.0,0,0,19-06-2013,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,981,54,0,Current Loyal Customer,981,12,Potential
2379,1953,Graduation,Single,69267.0,0,0,22-09-2012,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,1635,71,0,Current Loyal Customer,1635,12,Potential
3445,1956,Graduation,Single,60714.0,0,0,17-01-2013,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,957,68,0,Current Non-Loyal Customer,957,21,Potential
7828,1981,Master,Together,77882.0,0,0,30-04-2014,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,818,43,0,Current Loyal Customer,818,11,Potential
4391,1968,Master,Divorced,63841.0,0,1,21-04-2013,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,908,56,0,Current Non-Loyal Customer,908,21,Potential
2926,1952,Master,Together,55951.0,0,1,23-08-2012,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,1374,72,2,Potential Customer,1374,20,Potential
7119,1982,Graduation,Single,68627.0,0,0,12-01-2013,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,825,42,0,Current Loyal Customer,825,11,Potential
6963,1947,Graduation,Single,77457.0,0,0,05-03-2014,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,1157,77,1,Potential Customer,1157,17,Potential
4440,1964,Master,Married,64100.0,0,1,10-09-2013,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,546,60,1,Potential Customer,546,17,Potential
2437,1989,Graduation,Married,,0,0,03-06-2013,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,1611,35,2,Current Non-Loyal Customer,1611,23,Potential
2863,1970,Graduation,Single,,1,2,23-08-2013,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,1052,54,2,Current Non-Loyal Customer,1052,15,Potential
1802,1971,Graduation,Married,64795.0,0,1,17-01-2013,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,680,53,0,Current Loyal Customer,680,18,Potential
7214,1957,Graduation,Married,62187.0,0,0,05-07-2013,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,1283,67,0,Current Loyal Customer,1283,17,Potential
1150,1899,PhD,Together,83532.0,0,0,26-09-2013,36,755,144,562,104,64,224,1,4,6,4,1,0,0,1,0,0,0,0,1853,125,1,Current Loyal Customer,1853,14,Potential
9707,1969,PhD,Married,55212.0,0,1,23-11-2012,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,1182,55,2,Potential Customer,1182,17,Potential
1411,1952,Graduation,Divorced,82623.0,0,0,10-11-2013,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,940,72,0,Current Non-Loyal Customer,940,15,Potential
1826,1970,Graduation,Divorced,84835.0,0,0,16-06-2014,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,1190,54,0,Current Loyal Customer,1190,14,Potential
175,1986,Graduation,Married,71952.0,1,0,10-01-2013,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,1443,38,2,Potential Customer,1443,20,Potential
9185,1966,PhD,Single,69759.0,0,0,28-10-2013,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,1029,58,0,Current Loyal Customer,1029,15,Potential
9365,1976,PhD,Single,60000.0,0,1,22-12-2012,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,1277,48,0,Current Non-Loyal Customer,1277,19,Potential
6184,1969,PhD,Married,68462.0,0,0,12-12-2012,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,1670,55,0,Current Loyal Customer,1670,14,Potential
7274,1957,Graduation,Married,78618.0,0,0,28-09-2012,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,2153,67,1,Potential Customer,2153,21,Potential
9336,1969,PhD,Widow,62187.0,0,1,22-03-2014,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,636,55,0,Current Loyal Customer,636,18,Potential
10704,1969,Graduation,Single,54803.0,0,1,21-08-2012,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,693,55,0,Current Non-Loyal Customer,693,17,Potential
5125,1960,Graduation,Married,79530.0,0,0,17-05-2013,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,1348,64,0,Current Non-Loyal Customer,1348,25,Potential
5955,1962,Graduation,Together,72025.0,0,0,17-11-2012,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,1932,62,0,Current Loyal Customer,1932,15,Potential
2928,1975,PhD,Single,52614.0,0,1,01-12-2012,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,990,49,0,Current Non-Loyal Customer,990,14,Potential
6720,1968,Master,Together,43795.0,0,1,16-10-2013,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,492,56,1,Current Non-Loyal Customer,492,14,Potential
9799,1968,PhD,Divorced,83664.0,1,1,08-05-2013,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,1173,56,0,Current Non-Loyal Customer,1173,16,Potential
2669,1993,Graduation,Single,74293.0,0,0,04-05-2014,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,1127,31,0,Current Non-Loyal Customer,1127,15,Potential
