ID,Income,Total Spent,Total Purchases,Recency,Complain,Campaign,Weighted Score,Customer Type
2174,46344.0,27,4,38,0,0,0.15497576201726726,Low Value
6182,26646.0,53,6,26,0,0,0.1472644165089958,Low Value
5324,58293.0,422,14,94,0,0,0.29006983654970797,Low Value
6177,33454.0,169,8,32,0,0,0.19595845600662382,Low Value
4855,30351.0,46,5,19,0,0,0.15183447691766075,Low Value
5899,5648.0,49,1,68,0,1,0.036083717365135944,Low Value
1994,0.0,19,3,11,0,0,0.06955318755878007,Low Value
387,7500.0,61,5,59,0,0,0.06392207045385498,Low Value
8180,59354.0,310,12,53,0,0,0.2947517847817647,Low Value
2569,17323.0,46,4,38,0,0,0.09463056263192617,Low Value
9736,41850.0,96,6,51,0,0,0.16323125120513543,Low Value
4939,37760.0,317,11,20,0,0,0.2725137502520202,Low Value
2278,33812.0,133,6,86,0,0,0.11692030018502715,Low Value
9360,37040.0,316,11,41,0,0,0.24953761036793415,Low Value
1409,40689.0,444,13,69,0,0,0.2712421355024403,Low Value
7892,18589.0,75,6,89,0,0,0.06990819594347596,Low Value
9422,38360.0,131,7,26,0,0,0.1965356144067657,Low Value
6864,10979.0,30,6,34,0,0,0.10057409243774873,Low Value
3033,38620.0,318,10,56,0,0,0.22884686815392663,Low Value
5710,40548.0,120,7,31,0,1,0.2192994138209794,Low Value
7373,46610.0,302,11,8,0,0,0.30136757096381517,Low Value
10738,49389.0,65,5,55,0,0,0.16076467610986184,Low Value
10755,23718.0,81,6,76,0,0,0.09540189321518211,Low Value
8595,42429.0,67,5,99,0,0,0.1013841333946671,Low Value
503,20559.0,53,5,88,0,0,0.06188324989623839,Low Value
8430,21994.0,22,3,4,0,0,0.125513291809853,Low Value
7281,0.0,186,8,80,0,0,0.07702142342408363,Low Value
2139,7500.0,31,5,19,0,0,0.09888475656527144,Low Value
9909,7500.0,122,7,24,0,0,0.12908969286905903,Low Value
7286,41728.0,55,4,92,0,0,0.09536242266905193,Low Value
7244,0.0,124,7,96,0,0,0.040239341724378,Low Value
1331,35790.0,72,5,54,0,0,0.13315230976157139,Low Value
7437,27938.0,29,5,31,0,0,0.13132578793084,Low Value
8557,0.0,46,5,57,0,0,0.04673575995749514,Low Value
8082,25721.0,34,4,75,0,0,0.07354002293305367,Low Value
1386,32474.0,11,3,0,0,0,0.15059473990032407,Low Value
10629,0.0,109,6,25,0,0,0.09986083629523773,Low Value
1050,28332.0,65,7,58,0,0,0.13019874169404527,Low Value
5846,40246.0,13,3,68,0,0,0.09935434983264126,Low Value
10401,26326.0,18,3,12,1,0,0.07622918833321804,Low Value
3332,29760.0,165,8,87,0,0,0.13155756309769134,Low Value
2261,26304.0,16,3,5,0,0,0.13288878000066412,Low Value
5346,23559.0,79,6,87,0,0,0.0835785254413801,Low Value
4119,38620.0,318,10,56,0,0,0.22884686815392663,Low Value
5268,29440.0,56,5,95,0,0,0.07487810544455227,Low Value
273,36138.0,151,8,48,0,1,0.20743175822060006,Low Value
771,54178.0,194,9,79,0,0,0.20794683073747078,Low Value
9235,0.0,18,3,45,0,0,0.03502837473892492,Low Value
5798,0.0,985,14,87,0,0,0.27112211901359423,Low Value
11178,42394.0,32,4,69,0,0,0.11588698312457497,Low Value
2230,23626.0,43,7,84,0,0,0.0896014767831753,Low Value
7516,30096.0,45,5,30,0,0,0.13998146892754035,Low Value
11100,51813.0,63,5,37,0,0,0.1839119593305032,Low Value
1473,47823.0,72,5,0,0,0,0.2141476385750548,Low Value
1016,34554.0,55,5,43,0,0,0.1384631211045117,Low Value
8373,24594.0,29,4,94,0,0,0.050963939830727625,Low Value
7533,49096.0,187,9,15,0,0,0.26015284400210853,Low Value
3629,38557.0,145,7,17,0,0,0.20859885010995782,Low Value
2286,50785.0,114,6,27,0,0,0.2103786132275584,Low Value
367,36550.0,577,15,74,0,0,0.2999669848029062,Low Value
5234,30753.0,81,5,85,0,0,0.09239969770156743,Low Value
9862,21918.0,33,5,37,0,0,0.11275806525206322,Low Value
6205,32557.0,80,6,13,0,0,0.17828598488681013,Low Value
8442,19510.0,30,4,63,0,0,0.071283251350633,Low Value
7386,30992.0,43,4,83,0,0,0.07867786623824441,Low Value
3381,54348.0,90,6,51,0,0,0.18961497640759506,Low Value
8268,0.0,404,14,23,0,0,0.23038768885957522,Low Value
1295,0.0,725,18,96,0,0,0.2523728060532776,Low Value
5290,41551.0,279,11,51,0,0,0.24264127708671418,Low Value
5342,9548.0,29,4,31,0,0,0.08152751960298729,Low Value
9579,33762.0,106,6,61,0,0,0.13716570100505582,Low Value
7660,35860.0,49,4,37,0,1,0.16193118977239918,Low Value
1461,36921.0,38,5,74,0,0,0.1092694853350777,Low Value
9701,41883.0,312,9,13,0,0,0.2689903781714953,Low Value
10837,23957.0,68,5,47,0,0,0.11348725093510632,Low Value
3120,38547.0,22,3,49,1,0,0.06644408407314037,Low Value
5885,35688.0,211,9,94,0,0,0.1552356702189865,Low Value
4050,49605.0,127,7,65,0,0,0.18113392360560443,Low Value
92,34176.0,89,7,12,0,0,0.1938622345132896,Low Value
9283,60199.0,18,3,49,0,0,0.1633120778256772,Low Value
9970,55375.0,162,8,3,0,0,0.2721665355847739,Low Value
2795,30523.0,13,3,0,0,0,0.146668981545518,Low Value
8182,23228.0,121,7,91,0,0,0.09580344254297589,Low Value
4370,43482.0,88,6,83,0,0,0.1330443088471031,Low Value
3712,52332.0,259,11,63,0,1,0.2755903342539746,Low Value
3152,26091.0,89,6,84,0,0,0.09398823125688749,Low Value
5610,33456.0,36,4,58,0,0,0.10807688860279682,Low Value
6460,28718.0,57,5,78,0,0,0.09064416467438086,Low Value
1349,50447.0,148,7,4,0,0,0.24840984301083618,Low Value
1880,53537.0,93,6,17,0,0,0.2227198778489221,Low Value
641,52074.0,119,6,77,0,1,0.18861382067691218,Low Value
10854,38853.0,45,5,90,0,0,0.09862426969978348,Low Value
10492,38285.0,10,3,96,0,0,0.06621688969907591,Low Value
7698,51650.0,191,9,81,0,0,0.19982566771254073,Low Value
3559,16248.0,57,6,77,0,0,0.07361881674221306,Low Value
10796,30477.0,66,5,16,0,0,0.15876931151059992,Low Value
2563,28249.0,43,5,80,0,0,0.08505374974580136,Low Value
3518,25271.0,50,4,45,0,0,0.10575595873660176,Low Value
5823,32303.0,39,5,63,0,0,0.1104110965573011,Low Value
6431,45759.0,68,5,13,0,0,0.19575390964416572,Low Value
9733,24882.0,80,4,52,0,1,0.12827154063064833,Low Value
7829,36640.0,65,5,99,1,0,0.0382965096473753,Low Value
1324,38872.0,91,6,93,0,0,0.11335414070110847,Low Value
326,51148.0,315,12,38,0,0,0.2927724903089478,Low Value
7224,31353.0,31,4,24,0,0,0.13689080232630912,Low Value
3182,46854.0,263,9,81,0,1,0.22734277582340912,Low Value
1030,40637.0,38,4,72,0,0,0.11008286925339286,Low Value
624,18890.0,35,3,5,0,1,0.14503817326132157,Low Value
5176,29604.0,53,4,88,0,1,0.09739016735275974,Low Value
5552,48721.0,293,11,50,0,0,0.2619511353806652,Low Value
868,44794.0,65,5,99,0,0,0.10621990986191097,Low Value
2677,46097.0,241,10,11,0,0,0.2767705497325184,Low Value
6927,44377.0,264,11,70,0,0,0.2269405435159932,Low Value
1584,41443.0,482,14,79,0,0,0.27906588348797634,Low Value
7264,52195.0,17,3,2,0,0,0.1930117633168732,Low Value
1377,44551.0,285,10,24,0,0,0.2682216093660662,Low Value
1755,45204.0,114,6,93,0,0,0.13144428693404314,Low Value
9076,30732.0,185,9,44,0,0,0.19013104032443512,Low Value
4653,42011.0,189,8,46,0,0,0.2042538504953894,Low Value
3726,34320.0,17,3,66,0,0,0.08907405770464637,Low Value
1606,38590.0,22,3,65,0,0,0.1003769867009803,Low Value
9617,15033.0,19,4,37,0,0,0.08570976971228265,Low Value
89,22212.0,69,6,49,0,0,0.11718772302851362,Low Value
2936,23661.0,23,4,46,0,0,0.09630967953699221,Low Value
7297,7500.0,57,7,54,0,0,0.08699706159867684,Low Value
11004,60182.0,22,3,23,0,0,0.19026285010048077,Low Value
10735,22804.0,26,4,75,0,0,0.06567710421835143,Low Value
7411,31686.0,17,4,31,0,0,0.12801276767614994,Low Value
10236,31160.0,64,5,59,0,0,0.11647352119779898,Low Value
6340,29938.0,26,4,52,0,0,0.10459075405485636,Low Value
2227,26490.0,210,9,92,0,0,0.13685626526469324,Low Value
5304,30899.0,33,4,35,0,0,0.12514450560029378,Low Value
3406,45989.0,322,12,97,0,0,0.22310612342458452,Low Value
2661,18701.0,44,6,95,0,0,0.058471045588687556,Low Value
3153,40737.0,17,3,24,0,0,0.14560358087167458,Low Value
10264,15287.0,31,4,60,0,1,0.09021230848821479,Low Value
4200,44159.0,275,11,85,0,0,0.21330500332367824,Low Value
9396,37717.0,25,3,31,0,0,0.13334560523657996,Low Value
2387,43776.0,275,11,9,0,0,0.28923080343178087,Low Value
6690,38179.0,90,7,30,0,0,0.18466083467284022,Low Value
9703,38097.0,184,7,70,0,1,0.18612612591897343,Low Value
4557,22070.0,67,6,11,0,0,0.154896672643167,Low Value
5726,31788.0,60,7,15,1,0,0.13032286568489582,Low Value
6336,29315.0,48,6,55,0,0,0.12293135411438881,Low Value
10967,33378.0,99,6,38,0,0,0.1582843001314767,Low Value
4669,24480.0,102,7,46,0,0,0.1405638323966666,Low Value
8652,37760.0,317,11,20,0,0,0.2725137502520202,Low Value
8962,44319.0,37,5,18,0,0,0.18191539143352792,Low Value
9974,30631.0,70,6,75,0,0,0.10961237497325932,Low Value
4697,35416.0,390,13,62,0,0,0.2569277635254473,Low Value
9262,32414.0,52,4,11,0,1,0.1811632596395037,Low Value
7254,38361.0,137,7,74,0,0,0.14914123489182468,Low Value
4927,16626.0,68,6,76,0,0,0.07745496709560346,Low Value
10451,29672.0,25,3,6,0,0,0.14091432441528384,Low Value
2874,35388.0,32,4,20,0,0,0.14998196427232838,Low Value
9738,42386.0,100,6,43,0,0,0.17321576089275392,Low Value
5827,35246.0,62,7,53,0,0,0.1499028534152756,Low Value
10812,46377.0,90,6,89,0,0,0.13370999219225507,Low Value
1717,39747.0,273,10,43,0,0,0.23629342137460674,Low Value
9491,23976.0,66,7,68,0,0,0.11070413688641483,Low Value
6609,27038.0,107,6,64,0,0,0.11953667551389893,Low Value
1379,42670.0,241,10,12,0,0,0.26822752101390457,Low Value
10032,12571.0,53,7,86,0,0,0.06509493819143294,Low Value
2826,22574.0,37,5,28,0,0,0.1240164493157067,Low Value
