ID,Income,Total Spent,Total Purchases,Recency,Complain,Campaign,Weighted Score,Customer Type
5524,58138.0,1617,22,58,0,0,0.6178400449718796,Potential
4141,71613.0,776,20,26,0,0,0.508493529507103,Potential
7446,62513.0,716,20,16,0,0,0.4877090174402954,Potential
965,55635.0,590,17,34,0,0,0.4034299011392461,Potential
2125,63033.0,1102,15,82,0,0,0.4453224605910608,Potential
5376,2447.0,1730,28,42,0,0,0.5883324079551011,Potential
1993,58607.0,972,14,63,0,1,0.446831336868446,Potential
4047,65324.0,544,17,0,0,0,0.45072742675430394,Potential
2404,53359.0,257,10,4,0,0,0.3027059972871255,Potential
5255,0.0,637,27,19,0,0,0.39856427790602517,Potential
8755,68657.0,1196,17,4,0,0,0.5722720945787994,Potential
4339,67353.0,913,23,37,0,0,0.5409923151753393,Potential
2968,48948.0,902,22,53,0,1,0.49800429577450117,Potential
8601,80011.0,1395,19,3,0,0,0.6530838690358147,Potential
1371,79941.0,984,15,72,0,0,0.471186477733108,Potential
6566,72550.0,1319,19,39,0,0,0.586535359437873,Potential
8614,65486.0,507,16,29,0,0,0.4057045878778025,Potential
9381,66373.0,606,16,57,0,0,0.3973279535570881,Potential
10383,70287.0,1093,20,30,0,0,0.5590354067986318,Potential
8375,55954.0,518,16,63,0,0,0.3524039190751006,Potential
3076,66653.0,612,18,18,0,0,0.45717563499670827,Potential
1012,61823.0,884,20,26,0,0,0.5065628945239163,Potential
6518,67680.0,606,18,8,0,0,0.4684458346292265,Potential
4137,70666.0,1076,15,29,0,0,0.5109201579236226,Potential
4477,69096.0,653,17,4,0,0,0.47474855277931116,Potential
1357,74854.0,1562,12,90,0,0,0.5185346263187163,Potential
1402,66991.0,1253,18,1,0,0,0.5913539172015096,Potential
6312,65031.0,863,26,29,0,0,0.5630251848044783,Potential
8132,60631.0,661,19,88,0,1,0.4164940828876374,Potential
1618,56046.0,692,19,9,0,1,0.4918364547649825,Potential
535,81361.0,778,26,18,0,0,0.5946142842993122,Potential
4452,50388.0,372,13,3,0,2,0.3961690341676166,Potential
8504,79593.0,1366,18,70,0,1,0.5948533149848753,Potential
8996,0.0,603,17,4,0,0,0.31379892485923316,Potential
7247,47916.0,606,17,72,0,1,0.37598089661507933,Potential
4646,78497.0,978,24,44,0,1,0.6045819623207929,Potential
3037,50150.0,410,14,32,0,0,0.3326203364695951,Potential
4518,85693.0,1169,25,59,0,0,0.624266345675559,Potential
9370,65846.0,1120,15,68,0,0,0.4689119746275843,Potential
8908,87195.0,1097,19,35,0,0,0.5825010829125014,Potential
2683,52413.0,910,22,56,0,0,0.47904147649661993,Potential
10991,89058.0,850,13,18,0,0,0.5027173979142514,Potential
5077,77298.0,969,23,46,0,0,0.5639188184649463,Potential
3267,57288.0,608,17,27,0,1,0.44239889890113065,Potential
999,86037.0,730,24,95,0,2,0.5496587084788411,Potential
9215,43974.0,551,16,19,0,0,0.37650047887668564,Potential
9805,56129.0,660,18,65,0,0,0.3952741301986245,Potential
1491,71488.0,559,14,87,0,0,0.35099347458479063,Potential
